
ID;DATE;CH4;CO2;O2;BALANCE;CH4 %LEL;BARO;TEMPERATURE;REL.PRESSURE;REL.PRESSURE2;TECH.ID;INTERNAL FLOW;H2S;STATIC PRESSURE;DIFFERENTIAL PRESSURE;FLOW CALC;SYS-P;ADJ-SP;ADJ-DP;ADJ-TEMP;ADJ-FLOW;ADJ-POWER;INI-SP;INI-DP;INI-TEMP;INI-FLOW;INI-POWER;CHOSEN 1;CHOSEN 2;CH4/CO2;Res Nitrogen;FLOW;SP;DP;LOCATION DIFFERENCE
;;%;%;%;%;%;mb;DegC;mb;mb;;;ppm;;;;mb;mb;mb;DegC;m3/h;kW;mb;mb;DegC;m3/h;kW;;;%;%;;;;m
"M2S11P05";7/5/2020 09:11:43;50,8;36,9;1,9;10,4;">>>>";1026;;;;"N/A_";;77;;;;;-52,82;">>>>";0;0;0;-51,58;">>>>";0;0;0;"50%";;1,38;3,22;;;;N/A;
"M2S11P06";7/5/2020 09:14:05;59,5;41;0;0;">>>>";1026;;;;"N/A_";;247;;;;;-0,84;0,909;0;0;0;10,13;-9,681;0;0;0;"20%";;1,45;0,0;;;;N/A;
"M2S11P07";7/5/2020 09:18:20;45,7;33,8;3,9;16,6;">>>>";1026;;;;"N/A_";;120;;;;;-40,22;">>>>";0;0;0;-44,32;">>>>";0;0;0;"30%";;1,35;1,86;;;;N/A;
"M2S11P08";7/5/2020 09:20:09;21;17,5;11,8;49,7;">>>>";1026;;;;"N/A_";;22;;;;;0,01;0,121;0;0;0;-0,31;0,332;0;0;0;"0%";;1,2;5,1;;;;N/A;
"M2S11P09";7/5/2020 09:21:31;0,2;0,7;19,9;79,2;4;1026;;;;"N/A_";;9;;;;;5;-4,648;0;0;0;5;-4,638;0;0;0;"0%";;0,29;3,98;;;;N/A;
"M2S11P10";7/5/2020 09:24:17;32,6;25,4;6,4;35,6;">>>>";1026;;;;"N/A_";;6;;;;;-1,61;1,656;0;0;0;-1,59;1,659;0;0;0;"20%";;1,28;11,41;;;;N/A;
"M2S11P11";7/5/2020 09:25:55;55;46,3;0,1;0;">>>>";1026;;;;"N/A_";;98;;;;;-44,87;">>>>";0;0;0;-27,78;">>>>";0;0;0;"30%";;1,19;0,0;;;;N/A;
"M2S11P12";7/5/2020 09:30:57;27,7;24,3;5,1;42,9;">>>>";1026;;;;"N/A_";;27;;;;;-0,06;0,239;0;0;0;-0,06;0,225;0;0;0;"20%";;1,14;23,62;;;;N/A;
"M2S11P13";7/5/2020 09:32:55;52,3;40,7;0,7;6,3;">>>>";1026;;;;"N/A_";;53;;;;;-31,78;">>>>";0;0;0;-28,22;">>>>";0;0;0;"50%";;1,29;3,65;;;;N/A;
"M2S11P14";7/5/2020 09:35:57;40,8;33,4;3,3;22,5;">>>>";1026;;;;"N/A_";;52;;;;;-15,14;17,929;0;0;0;-31,7;">>>>";0;0;0;"20%";;1,22;10,03;;;;N/A;
"M2S11P15";7/5/2020 09:37:19;14,4;12,7;13,5;59,4;">>>>";1026;;;;"N/A_";;13;;;;;0,08;0,079;0;0;0;0,06;0,075;0;0;0;"0%";;1,13;8,37;;;;N/A;
"M2S11P16";7/5/2020 09:39:57;51,9;37,5;1,8;8,8;">>>>";1026;;;;"N/A_";;23;;;;;-34,12;">>>>";0;0;0;-31,72;">>>>";0;0;0;"30%";;1,38;2,0;;;;N/A;
