
ID;DATE;CH4;CO2;O2;BALANCE;CH4 %LEL;BARO;TEMPERATURE;REL.PRESSURE;REL.PRESSURE2;TECH.ID;INTERNAL FLOW;H2S;STATIC PRESSURE;DIFFERENTIAL PRESSURE;FLOW CALC;SYS-P;ADJ-SP;ADJ-DP;ADJ-TEMP;ADJ-FLOW;ADJ-POWER;INI-SP;INI-DP;INI-TEMP;INI-FLOW;INI-POWER;CHOSEN 1;CHOSEN 2;CH4/CO2;Res Nitrogen;FLOW;SP;DP;LOCATION DIFFERENCE
;;%;%;%;%;%;mb;DegC;mb;mb;;;ppm;;;;mb;mb;mb;DegC;m3/h;kW;mb;mb;DegC;m3/h;kW;;;%;%;;;;m
"M2S11K01";6/5/2020 10:54:22;58,4;42,5;0,6;0;">>>>";1023;;;;"3___";;59;;;;;;;;;;;;;;;;;1,37;0,0;;;;N/A;
"M2S11K01";6/5/2020 10:57:05;58,5;42,5;0,6;0;">>>>";1023;;;;"3___";;60;;;;;-166,4;0,058;0;233,7;1431,9;-165,53;0,054;0;218,5;1370,8;;;1,38;0,0;;;;N/A;
"M2S11K01";6/5/2020 11:23:14;58,1;42,8;0,5;0;">>>>";1024;;;;"3___";;62;;;;;-166,67;0,086;0;283,7;1724;-164,06;0,081;0;274,5;1668,1;;;1,36;0,0;;;;N/A;
"M2S11K01";6/5/2020 14:28:09;60,1;42,8;0,5;0;">>>>";1022;;;;"3___";;75;;;;;-152,4;0,07;0;258,5;1625,1;-151,93;0,068;0;252,4;1606,3;;;1,4;0,0;;;;N/A;
"M2S11P02";6/5/2020 14:35:03;62,6;44,9;0;0;">>>>";1024;;;;"3___";;107;;;;;-34,11;">>>>";0;0;0;-12,44;12,497;0;0;0;"20%";;1,39;0,0;;;;N/A;
"M2S11P03";6/5/2020 14:38:20;58,4;43;0,8;0;">>>>";1024;;;;"3___";;157;;;;;-11,26;11,297;0;0;0;-3,84;1,873;0;0;0;"20%";;1,36;0,0;;;;N/A;
"M2S11P04";6/5/2020 14:40:55;63,6;43,6;0,1;0;">>>>";1025;;;;"3___";;64;;;;;-20,16;20,037;0;0;0;-13,95;14,699;0;0;0;"20%";;1,46;0,0;;;;N/A;
"M2S11P11";6/5/2020 14:43:32;61,2;46;0;0;">>>>";1024;;;;"3___";;139;;;;;-24,5;22,573;0;0;0;-7,41;7,687;0;0;0;"20%";;1,33;0,0;;;;N/A;
"M2S11P12";6/5/2020 14:48:24;60,5;45,9;0;0;">>>>";1025;;;;"3___";;181;;;;;-12,17;12,063;0;0;0;-2,46;2,503;0;0;0;"20%";;1,32;0,0;;;;N/A;
"M2S11P13";6/5/2020 14:49:59;59,6;45,4;0;0;">>>>";1025;;;;"3___";;99;;;;;-22,18;22,983;0;0;0;-12,2;12,326;0;0;0;"20%";;1,31;0,0;;;;N/A;
"M2S11P14";6/5/2020 14:52:46;56,7;43,6;0,3;0;">>>>";1025;;;;"3___";;110;;;;;-17,62;17,52;0;0;0;-10,66;9,635;0;0;0;"20%";;1,3;0,0;;;;N/A;
"M2S11P15";6/5/2020 14:55:43;55,8;41,6;2,7;0;">>>>";1025;;;;"3___";;35;;;;;-138,87;">>>>";0;0;0;-138,98;">>>>";0;0;0;"50%";;1,34;0,0;;;;N/A;
"M2S11P15";6/5/2020 15:12:20;16,7;13,4;13,4;56,5;">>>>";1025;;;;"3___";;7;;;;;0,03;0,059;0;0;0;0,01;0,061;0;0;0;"0%";;1,25;5,85;;;;N/A;
"M2S11P16";6/5/2020 15:15:19;26,2;22,1;6,1;45,6;">>>>";1025;;;;"3___";;8;;;;;-0,08;0,091;0;0;0;32,09;"<<<<";0;0;0;"20%";;1,19;22,54;;;;N/A;
