Model;GEM2000Plus;Serial No;GM10283
Date downloaded;13/11/2019 07:27:08;Software Version;1.10.4
Computer & User Info;BRA000178;smoncerrat
Date of last user calibration;26/10/2019
Date of last factory calibration;14/5/2015
Next service due;17/11/2015
Date of last Gas Check;14/5/2015
Security code;[61D01C19]

ID;DATE;CH4;CO2;O2;BALANCE;CH4 %LEL;BARO;CO;H2S;H2;ADJ-SP;ADJ-DP;ADJ-TEMP;ADJ-FLOW;ADJ-POWER;INI-SP;INI-DP;INI-TEMP;INI-FLOW;INI-POWER;CHOSEN 1;CHOSEN 2;CH4/CO2;Res Nitrogen;LOCATION DIFFERENCE
;;%;%;%;%;%;mb;ppm;ppm;ppm;mb;mb;DegC;m3/h;kW;mb;mb;DegC;m3/h;kW;;;%;%;m
"M2S16P09";12/11/2019 09:35:59;58,3;41,3;0,3;0,1;">>>>";998;0;17;"LOW";-99,4;">>>>";0;0;0;-95,7;">>>>";0;0;0;"POZO ABIERTO";;1,41;0,0;;
"M2S16P14";12/11/2019 09:39:27;57,8;42,1;0;0,1;">>>>";998;0;15;"LOW";-106,1;">>>>";0;0;0;-103,7;">>>>";0;0;0;"POZO ABIERTO";"LIQUIDO EN LINEA";1,37;0,1;;
"M2S16P14";12/11/2019 09:40:54;57,7;42,2;0;0,1;">>>>";998;0;14;"LOW";-109,1;">>>>";0;0;0;-106,6;">>>>";0;0;0;"POZO ABIERTO";;1,37;0,1;;
"M2MGSE10";12/11/2019 09:49:39;56,9;40,2;1,1;1,8;">>>>";998;0;7;"LOW";-124,8;">>>>";0;0;0;-125,9;">>>>";0;0;0;"POZO ABIERTO";;1,42;0,0;;
"M2S09P08";12/11/2019 09:52:46;54,3;39,1;1,9;4,7;">>>>";998;0;7;"LOW";-53;">>>>";0;0;0;-44,8;">>>>";0;0;0;"POZO ABIERTO";;1,39;0,0;;
"M2S09P08";12/11/2019 09:53:08;54,3;39,1;1,9;4,7;">>>>";998;0;7;"LOW";-50,6;">>>>";0;0;0;-44,8;">>>>";0;0;0;"POZO ABIERTO";;1,39;0,0;;
"M2S09P15";12/11/2019 09:54:25;59,6;40,1;0,2;0,1;">>>>";998;0;6;"LOW";-122,1;">>>>";0;0;0;-122,4;">>>>";0;0;0;"POZO ABIERTO";;1,49;0,0;;
"M2S09P14";12/11/2019 09:56:48;58,5;40,3;1,1;0,1;">>>>";998;0;10;"LOW";-36,1;">>>>";0;0;0;-25,8;27,506;0;0;0;"POZO ABIERTO";;1,45;0,0;;
"M2S10P01";12/11/2019 10:01:50;58,7;40,5;0,6;0,2;">>>>";999;0;9;"LOW";-128,1;">>>>";0;0;0;-125,6;">>>>";0;0;0;"POZO ABIERTO";;1,45;0,0;;
"M2S10P11";12/11/2019 10:03:06;1,1;0,5;18,3;80,1;22;999;0;4;"LOW";-0,1;0,357;0;0;0;-0,1;0,395;0;0;0;"POZO CERRADO";;2,2;10,93;;
"M2S10P13";12/11/2019 10:09:16;30,5;21,4;10;38,1;">>>>";999;0;5;"LOW";-1,3;0,761;0;0;0;-0,5;0,43;0;0;0;"POZO CERRADO";;1,43;0,3;;
"M2S10P02";12/11/2019 10:10:46;57,1;42;0,7;0,2;">>>>";999;0;2;"LOW";-126,6;">>>>";0;0;0;-123,3;">>>>";0;0;0;"POZO ABIERTO";;1,36;0,0;;
"M2S10P11";12/11/2019 10:12:27;54,2;38,6;1,8;5,4;">>>>";999;0;2;"LOW";-40,9;">>>>";0;0;0;-32,6;">>>>";0;0;0;"POZO ABIERTO";;1,4;0,0;;
"M2S10P10";12/11/2019 10:13:57;57,9;41,2;0,7;0,2;">>>>";999;0;4;"LOW";-124,9;">>>>";0;0;0;-124,6;">>>>";0;0;0;"POZO ABIERTO";;1,41;0,0;;
"M2MGSE10";12/11/2019 10:15:43;54,9;39,3;1,7;4,1;">>>>";999;0;6;"LOW";-125,5;">>>>";0;0;0;-124,5;">>>>";0;0;0;"POZO ABIERTO";;1,4;0,0;;
"M2MGSE12";12/11/2019 10:27:39;56,1;43,5;0,2;0,2;">>>>";999;0;9;"LOW";-131,2;">>>>";0;0;0;-129;">>>>";0;0;0;"POZO ABIERTO";;1,29;0,0;;
"M2S13P28";12/11/2019 10:30:50;54,9;44,8;0,2;0,1;">>>>";999;0;5;"LOW";-119,2;">>>>";0;0;0;-117,9;">>>>";0;0;0;"POZO ABIERTO";;1,23;0,0;;
"M2S13P28";12/11/2019 10:31:25;54,9;44,8;0,2;0,1;">>>>";999;0;5;"LOW";-124,3;">>>>";0;0;0;-117,9;">>>>";0;0;0;"POZO ABIERTO";;1,23;0,0;;
"M2S13P25";12/11/2019 10:33:31;54,5;45,4;0;0,1;">>>>";999;0;1;"LOW";-130;">>>>";0;0;0;-122,1;">>>>";0;0;0;"POZO ABIERTO";;1,2;0,1;;
"M2S13P28";12/11/2019 10:36:10;1,6;2;17,4;79;32;999;0;0;"LOW";-0,3;0,623;0;0;0;-2,3;0,666;0;0;0;"POZO CERRADO";;0,8;13,23;;
"M2S13P22";12/11/2019 10:42:18;49,1;37,1;3,4;10,4;">>>>";999;0;12;"LOW";-127,7;">>>>";0;0;0;-124,1;">>>>";0;0;0;"POZO ABIERTO";;1,32;0,0;;
"M2S13P22";12/11/2019 10:48:53;50,4;42,5;2,1;5;">>>>";999;0;18;"LOW";0,6;-1,965;0;0;0;-2,2;2,28;0;0;0;"POZO ABIERTO";;1,19;0,0;;
"M2S12P06";12/11/2019 10:52:33;56;43,4;0,4;0,2;">>>>";999;0;2;"LOW";-60,7;">>>>";0;0;0;-40,8;">>>>";0;0;0;"POZO ABIERTO";;1,29;0,0;;
"M2S12P06";12/11/2019 10:54:40;55,7;43,9;0,3;0,1;">>>>";999;0;5;"LOW";-123,8;">>>>";0;0;0;-123,5;">>>>";0;0;0;"POZO ABIERTO";;1,27;0,0;;
"M2MGSE13";12/11/2019 11:02:35;58,4;41;0,5;0,1;">>>>";1000;0;12;"LOW";-106,5;">>>>";0;0;0;-105,8;">>>>";0;0;0;"POZO ABIERTO";;1,42;0,0;;
"M2S13P03";12/11/2019 11:05:04;59,4;39,2;0,8;0,6;">>>>";1000;0;4;"LOW";-108,7;">>>>";0;0;0;-105,7;">>>>";0;0;0;"POZO ABIERTO";;1,52;0,0;;
"M2S13P05";12/11/2019 11:09:01;16;10,3;13,5;60,2;">>>>";1000;0;12;"LOW";-22,9;19,393;0;0;0;-23,4;25,471;0;0;0;"POZO CERRADO";;1,55;9,17;;
"M2S13P04";12/11/2019 11:10:30;56,9;42,4;0,5;0,2;">>>>";1000;0;11;"LOW";-17,7;22,153;0;0;0;-4,8;2,846;0;0;0;"POZO ABIERTO";;1,34;0,0;;
"M2S13P04";12/11/2019 11:12:54;57,2;42,7;0;0,1;">>>>";1000;0;19;"LOW";-44,5;">>>>";0;0;0;-33,2;23,718;0;0;0;"POZO ABIERTO";;1,34;0,1;;
"M2S13P09";12/11/2019 11:14:58;56,9;42,9;0,1;0,1;">>>>";1000;0;12;"LOW";-92,1;">>>>";0;0;0;-96,6;">>>>";0;0;0;"POZO ABIERTO";;1,33;0,0;;
