
ID;DATE;CH4;CO2;O2;BALANCE;CH4 %LEL;BARO;TEMPERATURE;REL.PRESSURE;REL.PRESSURE2;TECH.ID;INTERNAL FLOW;H2S;STATIC PRESSURE;DIFFERENTIAL PRESSURE;FLOW CALC;SYS-P;ADJ-SP;ADJ-DP;ADJ-TEMP;ADJ-FLOW;ADJ-POWER;INI-SP;INI-DP;INI-TEMP;INI-FLOW;INI-POWER;CHOSEN 1;CHOSEN 2;CH4/CO2;Res Nitrogen;FLOW;SP;DP;LOCATION DIFFERENCE
;;%;%;%;%;%;mb;;;;;;ppm;;;;mb;mb;mb;DegC;m3/h;kW;mb;mb;DegC;m3/h;kW;;;%;%;;;;m
"M2S08K01";14/4/2020 13:32:05;57,6;40,7;1,2;0,5;">>>>";998;;;;"4   ";;33;;;;;-143,6;">>>>";0;3276,5;"N/A";-143,8;">>>>";0;3276,5;"N/A";;;1,42;0,0;;;;;
"M2S08P17";14/4/2020 13:34:45;56,5;43,3;0;0,2;">>>>";998;;;;"4   ";;59;;;;;-4,4;8,296;0;0;0;0,4;-1,35;0;0;0;"20%";;1,3;0,2;;;;;
"M2S08P17";14/4/2020 13:36:06;56,5;43,3;0;0,2;">>>>";998;;;;"4   ";;59;;;;;-0,7;1,067;0;0;0;0,4;-1,35;0;0;0;"20%";;1,3;0,2;;;;;
"M2S08P21";14/4/2020 13:37:46;56,6;43,3;0;0,1;">>>>";998;;;;"4   ";;58;;;;;-11,8;13,972;0;0;0;-8,1;9,478;0;0;0;"20%";;1,31;0,1;;;;;
"M2S08P04";14/4/2020 13:39:42;61,8;35,3;1,8;1,1;">>>>";998;;;;"4   ";;8;;;;;-39,1;">>>>";0;0;0;20,1;-18,074;0;0;0;"20%";;1,75;0,0;;;;;
"M2S08P06";14/4/2020 13:42:27;4,5;4,9;18,2;72,4;90;998;;;;"4   ";;1;;;;;2,8;2,382;0;0;0;2,7;2,224;0;0;0;"0%";;0,92;3,6;;;;;
"M2S08P03";14/4/2020 13:45:41;27,9;20,9;10,4;40,8;">>>>";998;;;;"4   ";;0;;;;;-4;11,728;0;0;0;-139,3;">>>>";0;0;0;"20%";;1,33;1,49;;;;;
"M2S08P05";14/4/2020 13:48:22;59,9;38,5;1,5;0,1;">>>>";998;;;;"4   ";;0;;;;;-10,8;20,322;0;0;0;-0,4;9,002;0;0;0;"20%";;1,56;0,0;;;;;
"M2S08P09";14/4/2020 13:50:31;56,7;43,2;0;0,1;">>>>";998;;;;"4   ";;69;;;;;-46,6;">>>>";0;0;0;-38,7;">>>>";0;0;0;"20%";;1,31;0,1;;;;;
"M2S08P16";14/4/2020 13:52:43;5;9,1;13,2;72,7;100;998;;;;"4   ";;11;;;;;0;11,316;0;0;0;-0,8;11,746;0;0;0;"0%";;0,55;22,8;;;;;
"M2S08P12";14/4/2020 13:57:50;55;44,7;0,2;0,1;">>>>";998;;;;"4   ";;58;;;;;-2,2;14,093;0;0;0;5,6;5,002;0;0;0;"30%";;1,23;0,0;;;;;
"M2S08P18";14/4/2020 14:01:32;36,5;28,6;3,4;31,5;">>>>";998;;;;"4   ";;5;;;;;-0,9;1,075;0;0;0;2,9;-2,781;0;0;0;;"20%";1,28;18,65;;;;;
"M2S08P20";14/4/2020 14:04:07;56,4;43,5;0;0,1;">>>>";998;;;;"4   ";;35;;;;;1,8;-5,173;0;0;0;1,3;-1,71;0;0;0;"20%";;1,3;0,1;;;;;
"M2S08P22";14/4/2020 14:06:30;56,8;43,1;0;0,1;">>>>";998;;;;"4   ";;29;;;;;-13,1;13,734;0;0;0;-11,2;11,584;0;0;0;"20%";;1,32;0,1;;;;;
"M2S08P15";14/4/2020 14:09:10;56,2;43,7;0;0,1;">>>>";998;;;;"4   ";;53;;;;;-17,3;19,093;0;0;0;-12,2;14,109;0;0;0;"30%";;1,29;0,1;;;;;
"M2S08P19";14/4/2020 14:11:41;56,7;43,2;0;0,1;">>>>";998;;;;"4   ";;50;;;;;-13,1;14,541;0;0;0;-5,2;3,647;0;0;0;"20%";;1,31;0,1;;;;;
"M2S08P11";14/4/2020 14:13:30;37,9;28,5;5,9;27,7;">>>>";998;;;;"4   ";;3;;;;;0,4;1,785;0;0;0;0,4;1,729;0;0;0;"0%";;1,33;5,4;;;;;
"M2S08P14";14/4/2020 14:16:24;0,8;0,1;19,8;79,3;16;998;;;;"4   ";;1;;;;;-14,3;16,948;0;0;0;-128;">>>>";0;0;0;"20%";;8,0;4,46;;;;;
"M2S08P08";14/4/2020 14:18:25;56;43,7;0,1;0,2;">>>>";998;;;;"4   ";;33;;;;;-2,6;5,643;0;0;0;-2,5;5,512;0;0;0;"20%";;1,28;0,0;;;;;
"M2S08P10";14/4/2020 14:20:46;56,2;43,7;0;0,1;">>>>";998;;;;"4   ";;34;;;;;-11,5;10,762;0;0;0;26;-23,885;0;0;0;"20%";;1,29;0,1;;;;;
"M2S08P07";14/4/2020 14:24:29;45,1;33;4,8;17,1;">>>>";998;;;;"4   ";;2;;;;;-12,2;15,629;0;0;0;-143,7;">>>>";0;0;0;"20%";;1,37;0,0;;;;;
"M2S08P02";14/4/2020 14:26:59;58,9;40,9;0;0,2;">>>>";998;;;;"4   ";;1;;;;;-13;16,445;0;0;0;21,2;-18,142;0;0;0;"20%";;1,44;0,2;;;;;
"M2S08K01";14/4/2020 14:34:49;57,2;40,6;1,6;0,6;">>>>";998;;;;"4   ";;34;;;;;-143,7;">>>>";0;3276,5;"N/A";-145,4;">>>>";0;3276,5;"N/A";;;1,41;0,0;;;;;
"M2S09K01";14/4/2020 14:39:21;57;42,1;0,8;0,1;">>>>";999;;;;"4   ";;36;;;;;-145,4;">>>>";0;3276,5;"N/A";-143,4;">>>>";0;3276,5;"N/A";;;1,35;0,0;;;;;
"M2S09P02";14/4/2020 14:41:12;16,2;15,8;10,6;57,4;">>>>";999;;;;"4   ";;8;;;;;2,2;2,141;0;0;0;2,1;2,154;0;0;0;"0%";;1,03;17,33;;;;;
"M2S09P07";14/4/2020 14:44:07;38,8;28,3;6,9;26;">>>>";999;;;;"4   ";;1;;;;;-33,3;">>>>";0;0;0;-146,1;">>>>";0;0;0;"20%";;1,37;0,0;;;;;
"M2S09P06";14/4/2020 14:46:13;57;39,8;2,1;1,1;">>>>";999;;;;"4   ";;36;;;;;-143,3;">>>>";0;0;0;-147,4;">>>>";0;0;0;"100%";;1,43;0,0;;;;;
"M2S09P11";14/4/2020 14:47:45;52,7;35,3;3,6;8,4;">>>>";999;;;;"4   ";;53;;;;;-7,9;12,474;0;0;0;-7,9;12,482;0;0;0;"30%";;1,49;0,0;;;;;
"M2S09P10";14/4/2020 14:49:26;55,3;44,6;0;0,1;">>>>";999;;;;"4   ";;50;;;;;-9,4;14,177;0;0;0;8;-3,589;0;0;0;"30%";;1,24;0,1;;;;;
"M2S09P15";14/4/2020 14:52:43;0,8;0,1;20,1;79;16;999;;;;"4   ";;5;;;;;-26,3;31,027;0;0;0;-146,2;">>>>";0;0;0;"20%";;8,0;3,02;;;;;
"M2S09P05";14/4/2020 14:55:17;55,9;43,9;0,1;0,1;">>>>";999;;;;"4   ";;57;;;;;-7,7;11,731;0;0;0;-6,1;10,566;0;0;0;"30%";;1,27;0,0;;;;;
"M2S09P14";14/4/2020 14:56:35;58;40,3;1,6;0,1;">>>>";999;;;;"4   ";;14;;;;;-148;">>>>";0;0;0;-146,3;">>>>";0;0;0;"100%";;1,44;0,0;;;;;
"M2S09P18";14/4/2020 14:58:10;46;32,7;4,7;16,6;">>>>";999;;;;"4   ";;35;;;;;-3,2;7,475;0;0;0;-3;7,472;0;0;0;"20%";;1,41;0,0;;;;;
"M2S09P17";14/4/2020 15:00:30;32,5;22,5;9,7;35,3;">>>>";999;;;;"4   ";;15;;;;;-7,3;11,562;0;0;0;-22,5;27,025;0;0;0;"20%";;1,44;0,0;;;;;
"M2S09P09";14/4/2020 15:02:31;55,9;44;0;0,1;">>>>";999;;;;"4   ";;48;;;;;-3,8;16,892;0;0;0;-1,6;6,398;0;0;0;"20%";;1,27;0,1;;;;;
"M2S09P13";14/4/2020 15:05:13;49,9;34,7;4,2;11,2;">>>>";999;;;;"4   ";;16;;;;;-9,7;14,517;0;0;0;-146,9;">>>>";0;0;0;"20%";;1,44;0,0;;;;;
"M2S09P08";14/4/2020 15:06:55;55,2;44,6;0,1;0,1;">>>>";999;;;;"4   ";;47;;;;;-143,9;">>>>";0;0;0;-105,3;">>>>";0;0;0;"50%";;1,24;0,0;;;;;
"M2S09P16";14/4/2020 15:11:04;0,8;0,1;20,4;78,7;16;999;;;;"4   ";;3;;;;;0;5,517;0;0;0;-25,1;">>>>";0;0;0;"0%";;8,0;1,59;;;;;
"M2S09P03";14/4/2020 15:12:41;56;42,9;1;0,1;">>>>";999;;;;"4   ";;16;;;;;-57,2;">>>>";0;0;0;-55,7;">>>>";0;0;0;"20%";;1,31;0,0;;;;;
"M2S09P01";14/4/2020 15:13:57;57,3;41,3;1,3;0,1;">>>>";999;;;;"4   ";;15;;;;;-35,4;">>>>";0;0;0;-35,4;">>>>";0;0;0;"20%";;1,39;0,0;;;;;
"M2S09P12";14/4/2020 15:15:21;34,7;24,4;8,1;32,8;">>>>";999;;;;"4   ";;2;;;;;1,9;4,257;0;0;0;2;4,214;0;0;0;"0%";;1,42;2,18;;;;;
"M2S09K01";14/4/2020 15:17:29;56,6;42,6;0,7;0,1;">>>>";999;;;;"4   ";;39;;;;;-146,1;">>>>";0;3276,5;"N/A";-144;">>>>";0;3276,5;"N/A";;;1,33;0,0;;;;;
"M2S15K01";15/4/2020 10:28:49;54,4;37,2;2,5;5,9;">>>>";999;;;;"3   ";;13;;;;;-139,8;">>>>";0;3276,5;"N/A";-140,6;">>>>";0;3276,5;"N/A";;;1,46;0,0;;;;;
"M2S15K01";15/4/2020 10:28:56;54,4;37,2;2,5;5,9;">>>>";999;;;;"3   ";;13;;;;;-141,2;">>>>";0;3276,5;"N/A";-140,6;">>>>";0;3276,5;"N/A";;;1,46;0,0;;;;;
"M2S15P04";15/4/2020 10:32:32;55,8;43,8;0,2;0,2;">>>>";1000;;;;"3   ";;11;;;;;-7,7;5,925;0;0;0;-3,2;5,188;0;0;0;"20%";;1,27;0,0;;;;;
"M2S15P08";15/4/2020 10:34:45;56,3;43,2;0,3;0,2;">>>>";999;;;;"3   ";;16;;;;;-147,6;">>>>";0;0;0;-0,1;0,549;0;0;0;"100%";;1,3;0,0;;;;;
"M2S15P13";15/4/2020 10:36:11;55,7;43,8;0,3;0,2;">>>>";999;;;;"3   ";;32;;;;;-145,7;">>>>";0;0;0;-145,3;">>>>";0;0;0;"100%";;1,27;0,0;;;;;
"M2S15P14";15/4/2020 10:38:06;56,9;40,9;1,5;0,7;">>>>";1000;;;;"3   ";;4;;;;;-117,7;">>>>";0;0;0;-118;">>>>";0;0;0;"100%";;1,39;0,0;;;;;
"M2S15P19";15/4/2020 10:39:51;56,8;42,7;0,3;0,2;">>>>";1000;;;;"3   ";;11;;;;;-146,6;">>>>";0;0;0;-145,6;">>>>";0;0;0;"100%";;1,33;0,0;;;;;
"M2S15P19";15/4/2020 10:40:03;56,8;42,7;0,3;0,2;">>>>";1000;;;;"3   ";;11;;;;;-36,8;3,913;0;0;0;-145,6;">>>>";0;0;0;;;1,33;0,0;;;;;
"M2S15P15";15/4/2020 10:42:39;54,3;40;1,9;3,8;">>>>";1000;;;;"3   ";;3;;;;;-62,9;">>>>";0;0;0;0;0,038;0;0;0;"50%";;1,36;0,0;;;;;
