
ID;DATE;CH4;CO2;O2;BALANCE;CH4 %LEL;BARO;TEMPERATURE;REL.PRESSURE;REL.PRESSURE2;TECH.ID;INTERNAL FLOW;H2S;STATIC PRESSURE;DIFFERENTIAL PRESSURE;FLOW CALC;SYS-P;ADJ-SP;ADJ-DP;ADJ-TEMP;ADJ-FLOW;ADJ-POWER;INI-SP;INI-DP;INI-TEMP;INI-FLOW;INI-POWER;CHOSEN 1;CHOSEN 2;CH4/CO2;Res Nitrogen;FLOW;SP;DP;LOCATION DIFFERENCE
;;%;%;%;%;%;mb;;;;;;ppm;;;;mb;mb;mb;DegC;m3/h;kW;mb;mb;DegC;m3/h;kW;;;%;%;;;;m
"M2S15P20";15/4/2020 10:44:41;52;35,4;3,2;9,4;">>>>";1000;;;;"3   ";;0;;;;;-38,9;">>>>";0;0;0;-42,4;">>>>";0;0;0;"30%";;1,47;0,0;;;;;
"M2S15P25";15/4/2020 10:46:18;10,6;10,6;14,1;64,7;">>>>";1000;;;;"3   ";;0;;;;;-3,7;6,002;0;0;0;-3,6;5,899;0;0;0;"0%";;1,0;11,4;;;;;
"M2S15P09";15/4/2020 10:50:26;53,3;46,5;0,1;0,1;">>>>";1000;;;;"3   ";;66;;;;;-15,7;21,743;0;0;0;-7,9;10,045;0;0;0;"20%";;1,15;0,0;;;;;
"M2S15P26";15/4/2020 10:52:27;53,5;35,9;3;7,6;">>>>";1000;;;;"3   ";;19;;;;;-66,2;">>>>";0;0;0;-63,9;">>>>";0;0;0;"50%";;1,49;0,0;;;;;
"M2S15P23";15/4/2020 10:55:27;42,7;29,7;6,4;21,2;">>>>";1000;;;;"3   ";;2;;;;;-77,2;">>>>";0;0;0;-46,9;">>>>";0;0;0;"50%";;1,44;0,0;;;;;
"M2S15P21";15/4/2020 10:59:27;39,5;27,8;7,6;25,1;">>>>";1000;;;;"3   ";;31;;;;;-3,4;14,315;0;0;0;-131,1;">>>>";0;0;0;"20%";;1,42;0,0;;;;;
"M2S15P16";15/4/2020 11:03:07;36,1;25,8;7,7;30,4;">>>>";1000;;;;"3   ";;11;;;;;-0,2;9,636;0;0;0;-2,6;9,245;0;0;0;"20%";;1,4;1,29;;;;;
"M2S15P27";15/4/2020 11:04:31;0,9;0,7;20,9;77,5;18;1000;;;;"3   ";;1;;;;;-0,4;10,446;0;0;0;-0,5;10,404;0;0;0;"0%";;1,29;0,0;;;;;
"M2S15P24";15/4/2020 11:09:57;45,7;33,5;5,7;15,1;">>>>";1000;;;;"3   ";;1;;;;;-13,1;24,183;0;0;0;-16;27,636;0;0;0;"20%";;1,36;0,0;;;;;
"M2S15P10";15/4/2020 11:11:54;45,1;31,7;4,9;18,3;">>>>";1000;;;;"3   ";;4;;;;;-6,3;15,712;0;0;0;-28,4;">>>>";0;0;0;"20%";;1,42;0,0;;;;;
"M2S15P05";15/4/2020 11:13:23;55,6;44,2;0,1;0,1;">>>>";1000;;;;"3   ";;31;;;;;-27,5;">>>>";0;0;0;-12,3;24,832;0;0;0;"20%";;1,26;0,0;;;;;
"M2S15P05";15/4/2020 11:13:42;55,6;44,2;0,1;0,1;">>>>";1000;;;;"3   ";;31;;;;;-15,3;28,651;0;0;0;-12,3;24,832;0;0;0;"20%";;1,26;0,0;;;;;
"M2S15P22";15/4/2020 11:15:53;56,9;43;0;0,1;">>>>";1000;;;;"3   ";;43;;;;;-131,5;">>>>";0;0;0;-131,5;">>>>";0;0;0;"100%";;1,32;0,1;;;;;
"M2S15P06";15/4/2020 11:17:52;55,9;44;0;0,1;">>>>";1001;;;;"3   ";;89;;;;;-7,4;10,934;0;0;0;-1,7;18,385;0;0;0;"20%";;1,27;0,1;;;;;
"M2S15P11";15/4/2020 11:19:21;57,6;41,4;0,9;0,1;">>>>";1001;;;;"3   ";;18;;;;;-123,9;">>>>";0;0;0;-102,5;">>>>";0;0;0;"50%";;1,39;0,0;;;;;
"M2S15P17";15/4/2020 11:20:51;57;42,8;0,1;0,1;">>>>";1001;;;;"3   ";;35;;;;;-75,5;">>>>";0;0;0;-60,2;">>>>";0;0;0;"50%";;1,33;0,0;;;;;
"M2S15P12";15/4/2020 11:22:35;55,3;44,6;0;0,1;">>>>";1001;;;;"3   ";;37;;;;;-140;">>>>";0;0;0;-140,7;">>>>";0;0;0;"100%";;1,24;0,1;;;;;
"M2S15P07";15/4/2020 11:24:29;57,9;38,9;1,3;1,9;">>>>";1001;;;;"3   ";;28;;;;;-76,1;">>>>";0;0;0;-51,7;">>>>";0;0;0;"50%";;1,49;0,0;;;;;
"M2S15P02";15/4/2020 11:26:01;55,7;44;0,1;0,2;">>>>";1001;;;;"3   ";;23;;;;;-5,2;20,284;0;0;0;-2,6;23,324;0;0;0;"20%";;1,27;0,0;;;;;
"M2S15P18";15/4/2020 11:27:51;30,3;20,2;11;38,5;">>>>";1001;;;;"3   ";;12;;;;;-1,9;20,967;0;0;0;-15,2;">>>>";0;0;0;"20%";;1,5;0,0;;;;;
"M2S15K01";15/4/2020 11:30:45;58,4;38,8;1,8;1;">>>>";1001;;;;"3   ";;10;;;;;-142,1;">>>>";0;3276,5;"N/A";-141,6;">>>>";0;3276,5;"N/A";;;1,51;0,0;;;;;
