
ID;DATE;CH4;CO2;O2;BALANCE;CH4 %LEL;BARO;TEMPERATURE;REL.PRESSURE;REL.PRESSURE2;TECH.ID;INTERNAL FLOW;H2S;STATIC PRESSURE;DIFFERENTIAL PRESSURE;FLOW CALC;SYS-P;ADJ-SP;ADJ-DP;ADJ-TEMP;ADJ-FLOW;ADJ-POWER;INI-SP;INI-DP;INI-TEMP;INI-FLOW;INI-POWER;CHOSEN 1;CHOSEN 2;CH4/CO2;Res Nitrogen;FLOW;SP;DP;LOCATION DIFFERENCE
;;%;%;%;%;%;mb;DegC;mb;mb;;;ppm;;;;mb;mb;mb;DegC;m3/h;kW;mb;mb;DegC;m3/h;kW;;;%;%;;;;m
"M2S17K01";16/4/2020 11:15:49;54,1;39,9;1,5;4,5;">>>>";1023;;;;"N/A_";;84;;;;;-160,3;">>>>";0;;"N/A";-160,31;">>>>";0;;"N/A";;;1,36;0,0;;;;N/A;
"M2S18K01";16/4/2020 13:40:30;60,9;40,1;0,4;0;">>>>";1025;;;;"N/A_";;82;;;;;-144,45;">>>>";0;;"N/A";-144,56;">>>>";0;;"N/A";;;1,52;0,0;;;;N/A;
"M2S12K01";16/4/2020 13:51:28;56,7;41,7;0,5;1,1;">>>>";1022;;;;"N/A_";;157;;;;;-117,04;">>>>";0;;"N/A";-115,97;">>>>";0;;"N/A";;;1,36;0,0;;;;N/A;
"M2S13K01";16/4/2020 14:37:56;53,3;38,2;1,6;6,9;">>>>";1022;;;;"N/A_";;143;;;;;;;;;;;;;;;;;1,4;0,85;;;;N/A;
"M2S13K01";16/4/2020 14:39:05;53,5;38,3;1,6;6,6;">>>>";1022;;;;"N/A_";;140;;;;;-126,84;">>>>";0;;"N/A";-126,55;">>>>";0;;"N/A";;;1,4;0,55;;;;N/A;
"M2S11K01";16/4/2020 15:03:44;52,1;36,6;1,7;9,6;">>>>";1022;;;;"N/A_";;80;;;;;-138,67;">>>>";0;;"N/A";-138,75;">>>>";0;;"N/A";;;1,42;3,17;;;;N/A;
"M2S10K01";16/4/2020 15:08:39;55,6;41,1;0,5;2,8;">>>>";1021;;;;"N/A_";;94;;;;;-133,79;">>>>";0;;"N/A";-133,94;">>>>";0;;"N/A";;;1,35;0,91;;;;N/A;
"M2S07K01";16/4/2020 15:27:55;57,5;42,6;0,3;0;">>>>";1023;;;;"N/A_";;93;;;;;-141,15;">>>>";0;;"N/A";-141,61;">>>>";0;;"N/A";;;1,35;0,0;;;;N/A;
"M2H00K01";17/4/2020 07:50:30;55,2;39,4;1,5;3,9;">>>>";1028;;;;"N/A_";;51;;;;;-22,44;20,88;0;9999;9999;-21,99;20,398;0;9999;9999;;;1,4;0,0;;;;N/A;
"M1H01K01";17/4/2020 08:00:04;52,5;37,6;2;7,9;">>>>";1028;;;;"N/A_";;46;;;;;-55,8;0,453;0;1817;9985,4;-55,92;0,457;0;1825,2;9999;;;1,4;0,34;;;;N/A;
"M1H01K02";17/4/2020 08:07:04;50,2;36,7;2,1;11;">>>>";1027;;;;"N/A_";;53;;;;;-51,48;0,067;0;698,6;3673,8;-51,04;0,065;0;690,1;3628,9;;;1,37;3,06;;;;N/A;
"M1H02K01";17/4/2020 08:13:32;53,7;38,2;1,9;6,2;">>>>";1027;;;;"N/A_";;42;;;;;-60,65;0,193;0;1182,9;6645,7;-56,4;0,193;0;1183;6675;;;1,41;0,0;;;;N/A;
"M2H01K01";17/4/2020 08:25:22;54,8;40,9;1,1;3,2;">>>>";1028;;;;"N/A_";;30;;;;;-204,43;0,46;0;1677,4;9625,6;-204,95;0,373;0;1515,5;8649;;;1,34;0,0;;;;N/A;
"M2H02K01";17/4/2020 08:29:51;53,6;39,6;1,5;5,3;">>>>";1028;;;;"N/A_";;68;;;;;-202,5;0,77;0;2172,5;9999;-202,06;0,768;0;2172;9999;;;1,35;0,0;;;;N/A;
"M2H03K01";17/4/2020 08:34:55;54,8;39,8;1,4;4;">>>>";1028;;;;"N/A_";;71;;;;;-200,69;1,284;0;2815,4;9999;-200,09;1,249;0;2778;9999;;;1,38;0,0;;;;N/A;
"M2S08K01";17/4/2020 09:39:59;58,4;41,3;0,6;0;">>>>";1027;;;;"N/A_";;109;;;;;-163,08;0,065;0;248,3;1517,5;-161,32;0,069;0;256,3;1566,4;;;1,41;0,0;;;;N/A;
"M2S09K01";17/4/2020 09:47:13;56,5;40,6;1;1,9;">>>>";1027;;;;"N/A_";;165;;;;;-164,66;0,016;0;121,6;718,9;-162,13;0,018;0;130,9;774,4;;;1,39;0,0;;;;N/A;
"M1S14K01";17/4/2020 10:22:37;46,2;34,1;2,9;16,8;">>>>";1027;;;;"N/A_";;53;;;;;0,38;-0,019;0;"N/A";"N/A";-88,79;-0,008;0;"N/A";"N/A";;;1,35;5,84;;;;N/A;
"M1S15K01";17/4/2020 10:25:57;46,8;36,1;2,4;14,7;">>>>";1028;;;;"N/A_";;41;;;;;-86,5;">>>>";0;;"N/A";-87,89;">>>>";0;;"N/A";;;1,3;5,63;;;;N/A;
"M1S15P06";17/4/2020 10:36:21;61,1;41,5;0;0;">>>>";1027;;;;"N/A_";;114;;;;;-1,7;2,438;0;0;0;21,73;-20,012;0;0;0;"20%";;1,47;0,0;;;;N/A;
"M1S15P46";17/4/2020 10:48:10;56;40,2;0,4;3,4;">>>>";1027;;;;"N/A_";;67;;;;;-4,44;4,684;0;0;0;-4,49;4,72;0;0;0;"20%";;1,39;1,89;;;;N/A;
"M1S15P40";17/4/2020 10:51:39;50,2;38,5;1,7;9,6;">>>>";1026;;;;"N/A_";;104;;;;;-0,28;0,785;0;0;0;-0,25;0,808;0;0;0;"20%";;1,3;3,17;;;;N/A;
"M1S15P67";17/4/2020 10:55:42;28,3;24;6,2;41,5;">>>>";1026;;;;"N/A_";;16;;;;;0,64;-0,087;0;0;0;-0,92;1,197;0;0;0;"0%";;1,18;18,06;;;;N/A;
"M1S15P45";17/4/2020 10:58:32;42,6;35,6;0,6;21,2;">>>>";1026;;;;"N/A_";;35;;;;;-1,54;1,96;0;0;0;-1,56;1,965;0;0;0;"20%";;1,2;18,93;;;;N/A;
"M1S15P65";17/4/2020 11:03:56;52;38,6;1,6;7,8;">>>>";1026;;;;"N/A_";;113;;;;;-0,06;0,58;0;0;0;0,51;0,124;0;0;0;"20%";;1,35;1,75;;;;N/A;
"M1S15P44";17/4/2020 11:05:49;51,8;39,3;0;8,9;">>>>";1026;;;;"N/A_";;141;;;;;-2,13;3,103;0;0;0;-1,89;2,308;0;0;0;"20%";;1,32;8,9;;;;N/A;
"M1S15P47";17/4/2020 11:08:42;7,6;12,9;8;71,5;">>>>";1027;;;;"N/A_";;28;;;;;-0,14;0,677;0;0;0;-10;10;0;0;0;"0%";;0,59;41,26;;;;N/A;
"M1S15P10";17/4/2020 11:11:22;1,4;0,8;19,9;77,9;28;1027;;;;"N/A_";;11;;;;;0,45;-0,007;0;0;0;-1,97;2,381;0;0;0;"0%";;1,75;2,68;;;;N/A;
"M1S15P64";17/4/2020 11:14:23;43,4;34,3;2,1;20,2;">>>>";1027;;;;"N/A_";;44;;;;;-1,57;2,029;0;0;0;-4,67;4,974;0;0;0;"20%";;1,27;12,26;;;;N/A;
"M1S15P11";17/4/2020 13:46:21;47,9;34,4;1,8;15,9;">>>>";1025;;;;"N/A_";;30;;;;;-0,35;1,295;0;0;0;-3,51;3,874;0;0;0;"20%";;1,39;9,1;;;;N/A;
"M1S15P53";17/4/2020 13:49:57;58,1;41,8;0,5;0;">>>>";1025;;;;"N/A_";;169;;;;;-0,19;1,101;0;0;0;0,78;-0,036;0;0;0;"20%";;1,39;0,0;;;;N/A;
"M1S15P52";17/4/2020 13:51:44;50,8;37,5;0,6;11,1;">>>>";1025;;;;"N/A_";;63;;;;;-0,32;1,203;0;0;0;-0,22;0,885;0;0;0;"20%";;1,35;8,83;;;;N/A;
"M1S15P63";17/4/2020 13:55:12;9,2;5,1;16,6;69,1;">>>>";1025;;;;"N/A_";;28;;;;;1,64;-0,719;0;0;0;-40,41;">>>>";0;0;0;"0%";;1,8;6,35;;;;N/A;
"M1S15P62";17/4/2020 13:57:49;0,6;1,5;18,9;79;12;1025;;;;"N/A_";;9;;;;;0,93;-0,055;0;0;0;0,97;-0,037;0;0;0;"0%";;0,4;7,56;;;;N/A;
"M1S15P12";17/4/2020 13:59:29;29,2;23;6,5;41,3;">>>>";1025;;;;"N/A_";;19;;;;;1,16;-0,276;0;0;0;-0,26;1,112;0;0;0;"0%";;1,27;16,73;;;;N/A;
"M1S15P56";17/4/2020 14:04:16;49,2;37,8;0,5;12,5;">>>>";1025;;;;"N/A_";;42;;;;;-0,07;1,25;0;0;0;0,71;0,124;0;0;0;"20%";;1,3;10,61;;;;N/A;
"M1S15P55";17/4/2020 14:07:34;32,6;28;2,6;36,8;">>>>";1025;;;;"N/A_";;10;;;;;-1,67;2,56;0;0;0;-3,6;4,639;0;0;0;"20%";;1,16;26,97;;;;N/A;
"M1S15P16";17/4/2020 14:10:43;16,7;14,7;9,6;59;">>>>";1024;;;;"N/A_";;9;;;;;;;;;;;;;;;;;1,14;22,71;;;;N/A;
"M1S15P16";17/4/2020 14:11:32;16,7;14,7;9,6;59;">>>>";1024;;;;"N/A_";;10;;;;;0,68;-0,097;0;9,9;17,3;0,36;0,584;0;0;0;"20%";;1,14;22,71;;;;N/A;
"M1S15P20";17/4/2020 14:13:47;53,7;37,7;1,4;7,2;">>>>";1024;;;;"N/A_";;59;;;;;-23,97;23,91;0;0;0;-23,89;23,03;0;0;0;;;1,42;1,91;;;;N/A;
"M1S15P25";17/4/2020 14:18:11;56,9;41,3;0,2;1,6;">>>>";1023;;;;"N/A_";;63;;;;;-6,15;6,838;0;0;0;-6,7;7,127;0;0;0;"20%";;1,38;0,84;;;;N/A;
"M1S15P73";17/4/2020 14:22:13;37,9;29,4;5,6;27,1;">>>>";1024;;;;"N/A_";;45;;;;;1,34;-0,885;0;0;0;0,41;0,552;0;0;0;"0%";;1,29;5,93;;;;N/A;
"M1S15P58";17/4/2020 14:26:14;44,5;35,1;3;17,4;">>>>";1023;;;;"N/A_";;64;;;;;-6,12;6,427;0;0;0;-13,65;13,702;0;0;0;"20%";;1,27;6,06;;;;N/A;
"M1S15P23";17/4/2020 14:30:26;42;33,7;2,7;21,6;">>>>";1023;;;;"N/A_";;27;;;;;-5,58;6,103;0;0,9;4;-42,04;">>>>";0;0;0;"20%";;1,25;11,39;;;;N/A;
"M1S15P51";17/4/2020 14:32:45;55,1;40,9;0,2;3,8;">>>>";1023;;;;"N/A_";;71;;;;;-0,16;1,601;0;0;0;-0,06;1,106;0;0;0;"20%";;1,35;3,04;;;;N/A;
"M1S15P19";17/4/2020 14:35:12;58;42,8;0;0;">>>>";1025;;;;"N/A_";;304;;;;;-0,58;2,521;0;0;0;2,82;-1,703;0;0;0;"20%";;1,36;0,0;;;;N/A;
"M1S14P10";17/4/2020 15:28:44;59,3;43,7;0,1;0;">>>>";1023;;;;"N/A_";;160;;;;;-0,1;1,462;0;0;0;1,09;-0,136;0;0;0;"20%";;1,36;0,0;;;;N/A;
"M1S14P13";17/4/2020 15:32:30;45,5;34,6;2,9;17;">>>>";1023;;;;"N/A_";;139;;;;;-0,82;1,854;0;0;0;-2,36;3,003;0;0;0;"20%";;1,32;6,04;;;;N/A;
"M1S14P16";17/4/2020 15:34:52;59,1;41,9;0;0;">>>>";1023;;;;"N/A_";;184;;;;;-0,1;1,599;0;0;0;2,42;-1,371;0;0;0;"20%";;1,41;0,0;;;;N/A;
"M1S14P18";17/4/2020 15:38:59;55,3;35,8;0,1;8,8;">>>>";1026;;;;"N/A_";;214;;;;;-0,07;1,034;0;0;0;0,93;-0,068;0;0;0;"20%";;1,54;8,42;;;;N/A;
"M1S14P15";17/4/2020 15:43:29;15,4;15,9;7,6;61,1;">>>>";1033;;;;"N/A_";;19;;;;;0,27;0,533;0;0;0;-12,71;11,174;0,9;0;0;"0%";;0,97;32,37;;;;N/A;
"M1S14P14";17/4/2020 15:46:28;28,2;27;2;42,8;">>>>";1023;;;;"N/A_";;14;;;;;0,31;0,2;0;0;0;0,15;0,713;0;0;0;"0%";;1,04;35,24;;;;N/A;
"M1S14P12";17/4/2020 15:48:01;29,7;24,6;6;39,7;">>>>";1023;;;;"N/A_";;16;;;;;-1,17;1,439;0;0;0;-14,49;14,613;0;0;0;"20%";;1,21;17,02;;;;N/A;
"M1H01K01";17/4/2020 15:54:41;45,2;34,3;3;17,5;">>>>";1026;;;;"N/A_";;37;;;;;-113,83;">>>>";0;;"N/A";-115,52;">>>>";0;;"N/A";;;1,32;6,16;;;;N/A;
"M2H00K01";20/4/2020 08:04:00;54,9;39,3;1,6;4,2;">>>>";1019;;;;"N/A_";;42;;;;;-51,21;">>>>";0;;"N/A";-47,91;">>>>";0;;"N/A";;;1,4;0,0;;;;N/A;
"M2H01K01";20/4/2020 08:13:05;54,4;39,9;1,3;4,4;">>>>";1016;;;;"N/A_";;22;;;;;-207,29;">>>>";0;;"N/A";-207,61;">>>>";0;;"N/A";;;1,36;0,0;;;;N/A;
"M2H02K01";20/4/2020 08:17:20;51,8;38;2,2;8;">>>>";1018;;;;"N/A_";;49;;;;;-197,26;">>>>";0;;"N/A";-197,04;">>>>";0;;"N/A";;;1,36;0,0;;;;N/A;
"M2H03K01";20/4/2020 08:19:31;54,2;39;1,6;5,2;">>>>";1018;;;;"N/A_";;45;;;;;;;;;;;;;;;;;1,39;0,0;;;;N/A;
"M2H03K01";20/4/2020 08:21:01;54,6;39,1;1,6;4,7;">>>>";1018;;;;"N/A_";;38;;;;;-204,01;">>>>";0;;"N/A";-202,15;">>>>";0;;"N/A";;;1,4;0,0;;;;N/A;
"M1H01K01";20/4/2020 08:28:40;47,7;35;2,8;14,5;">>>>";1018;;;;"N/A_";;33;;;;;;;;;;;;;;;;;1,36;3,92;;;;N/A;
"M1H01K01";20/4/2020 08:29:18;47,8;35,4;2,8;14;">>>>";1018;;;;"N/A_";;31;;;;;-84,75;">>>>";0;;"N/A";-84,7;">>>>";0;;"N/A";;;1,35;3,42;;;;N/A;
"M1H02K01";20/4/2020 08:51:29;41,3;30,9;5,1;22,7;">>>>";1018;;;;"N/A_";;26;;;;;-87,88;">>>>";0;;"N/A";-87,75;">>>>";0;;"N/A";;;1,34;3,42;;;;N/A;
"M1H03K01";20/4/2020 08:59:51;22,1;15,7;12,3;49,9;">>>>";1015;;;;"N/A_";;13;;;;;-77,15;">>>>";0;;"N/A";-78,07;">>>>";0;;"N/A";;;1,41;3,41;;;;N/A;
"M2S11K01";20/4/2020 11:12:12;43,7;31,2;4,4;20,7;">>>>";1015;;;;"N/A_";;38;;;;;-162,55;">>>>";0;;"N/A";-159,55;">>>>";0;;"N/A";;;1,4;4,07;;;;N/A;
"M2S13K01";20/4/2020 11:15:44;51,3;36,7;2,2;9,8;">>>>";1015;;;;"N/A_";;129;;;;;-141,17;">>>>";0;;"N/A";-138,67;">>>>";0;;"N/A";;;1,4;1,48;;;;N/A;
"M2S11K01";20/4/2020 14:11:02;48,6;34,6;2,9;13,9;">>>>";1014;;;;"N/A_";;51;;;;;-146,37;">>>>";0;;"N/A";-153,9;">>>>";0;;"N/A";;;1,4;2,94;;;;N/A;
"M1S11P10";20/4/2020 14:15:26;60,8;41,3;0,1;0;">>>>";1014;;;;"N/A_";;102;;;;;-11,27;4,261;0;0;0;-6,07;6,175;0;0;0;"30%";;1,47;0,0;;;;N/A;
"M1S11P20";20/4/2020 14:17:56;58,9;40,5;0,4;0,2;">>>>";1014;;;;"N/A_";;16;;;;;-73,16;">>>>";0;0;0;-55,29;">>>>";0;0;0;"30%";;1,45;0,0;;;;N/A;
"M1S11P18";20/4/2020 14:21:34;30;19,9;9,2;40,9;">>>>";1014;;;;"N/A_";;33;;;;;-12,22;10,971;0;0;0;-150,5;">>>>";0;0;0;"20%";;1,51;6,12;;;;N/A;
"M2S11P05";20/4/2020 14:24:27;60,3;40,4;0,2;0;">>>>";1014;;;;"N/A_";;103;;;;;-12,32;11,944;0;0;0;-5,88;6,598;0;0;0;"30%";;1,49;0,0;;;;N/A;
"M2S11P06";20/4/2020 14:26:46;48,2;34,5;1,7;15,6;">>>>";1014;;;;"N/A_";;38;;;;;-155,52;">>>>";0;0;0;-160,01;">>>>";0;0;0;"100%";;1,4;9,17;;;;N/A;
"M2S11P01";20/4/2020 14:28:38;56,1;38;1,3;4,6;">>>>";1014;;;;"N/A_";;87;;;;;-6,33;7,118;0;0;0;-6,34;7,014;0;0;0;"20%";;1,48;0,0;;;;N/A;
"M2S11P14";20/4/2020 14:32:14;49,5;37,1;1,5;11,9;">>>>";1014;;;;"N/A_";;62;;;;;-10,92;11,23;0;0;0;-10,74;10,913;0;0;0;"20%";;1,33;6,23;;;;N/A;
"M2S11P13";20/4/2020 14:35:18;46,2;34,6;3;16,2;">>>>";1014;;;;"N/A_";;36;;;;;-12,21;12,598;0;0;0;-21,16;20,863;0;0;0;"20%";;1,34;4,86;;;;N/A;
"M2S11P11";20/4/2020 14:37:25;58,3;43,1;0;0;">>>>";1014;;;;"N/A_";;119;;;;;-12,98;7,752;0;0;0;-6,29;14,395;0;0;0;"30%";;1,35;0,0;;;;N/A;
"M2S11P02";20/4/2020 14:40:12;49,1;36,4;1,6;12,9;">>>>";1014;;;;"N/A_";;44;;;;;-6,18;7,151;0;0;0;-23,78;23,621;0;0;0;"30%";;1,35;6,85;;;;N/A;
"M2S11P03";20/4/2020 14:42:46;38;27,5;4,6;29,9;">>>>";1014;;;;"N/A_";;25;;;;;-0,01;0,746;0;0;0;-0,29;1,26;0;0;0;"20%";;1,38;12,51;;;;N/A;
"M2S11P04";20/4/2020 14:45:30;60,3;41;0;0;">>>>";1014;;;;"N/A_";;80;;;;;-11,02;11,86;0;0;0;-2,08;2,832;0;0;"N/A";"30%";;1,47;0,0;;;;N/A;
"M2S11K01";20/4/2020 14:47:30;53,7;38;1;7,3;">>>>";1014;;;;"N/A_";;116;;;;;-146,86;">>>>";0;;"N/A";-155,93;">>>>";0;;"N/A";;;1,41;3,52;;;;N/A;
"M2S10K01";20/4/2020 14:59:40;54,4;40,7;0,5;4,4;">>>>";1011;;;;"N/A_";;94;;;;;-146,85;">>>>";0;;"N/A";-150,08;">>>>";0;;"N/A";;;1,34;2,51;;;;N/A;
"M2S16K01";20/4/2020 15:09:52;52,8;38,7;1,3;7,2;">>>>";1011;;;;"N/A_";;146;;;;;-149,76;">>>>";0;;"N/A";-135,55;">>>>";0;;"N/A";;;1,36;2,29;;;;N/A;
