
ID;DATE;CH4;CO2;O2;BALANCE;CH4 %LEL;BARO;TEMPERATURE;REL.PRESSURE;REL.PRESSURE2;TECH.ID;INTERNAL FLOW;H2S;STATIC PRESSURE;DIFFERENTIAL PRESSURE;FLOW CALC;SYS-P;ADJ-SP;ADJ-DP;ADJ-TEMP;ADJ-FLOW;ADJ-POWER;INI-SP;INI-DP;INI-TEMP;INI-FLOW;INI-POWER;CHOSEN 1;CHOSEN 2;CH4/CO2;Res Nitrogen;FLOW;SP;DP;LOCATION DIFFERENCE
;;%;%;%;%;%;mb;DegC;mb;mb;;;ppm;;;;mb;mb;mb;DegC;m3/h;kW;mb;mb;DegC;m3/h;kW;;;%;%;;;;m
"M1H03K01";18/12/2019 08:31:33;44;33;4,2;18,8;">>>>";1009;;;;"N/A_";;13;;;;;;;;;;;;;;;;;1,33;2,92;;;;N/A;
"M1H03K01";18/12/2019 08:32:08;44;33;4,1;18,9;">>>>";1009;;;;"N/A_";;14;;;;;-49,82;">>>>";0;;"N/A";-49,78;">>>>";0;;"N/A";;;1,33;3,4;;;;N/A;
"M1S10K01";18/12/2019 08:39:09;42,5;32,6;4,3;20,6;">>>>";1012;;;;"N/A_";;25;;;;;;;;;;;;;;;;;1,3;4,35;;;;N/A;
"M1S11K01";18/12/2019 08:45:13;47,5;35,5;2,7;14,3;">>>>";1013;;;;"N/A_";;39;;;;;;;;;;;;;;;;;1,34;4,09;;;;N/A;
"M1S15K01";18/12/2019 08:51:40;47,1;35,5;2,9;14,5;">>>>";1013;;;;"N/A_";;20;;;;;;;;;;;;;;;;;1,33;3,54;;;;N/A;
"M2S09K01";18/12/2019 09:20:43;44,2;33,3;3,8;18,7;">>>>";1013;;;;"N/A_";;28;;;;;;;;;;;;;;;;;1,33;4,34;;;;N/A;
